system:index,CellCode,LATITUDE,LONGITUDE,PLOTID,batch,constant,country,stratum,.geo
00000000000000001512_0,38676589,48.06223742657991,14.16947171521126,a14-16947171521126_48-06223742657991,countries,2,AUT,crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000020a5_0,38676589,48.23020162912773,14.01564823734351,a14-01564823734351_48-23020162912773,countries,2,AUT,crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013c_0,49226925,48.50169694098532,16.8949961280541,a16-8949961280541_48-50169694098532,countries,2,AUT,crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000043b_0,49226925,48.52313127314032,16.67045279600567,a16-67045279600567_48-52313127314032,countries,2,AUT,crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002642_0,49226925,48.46128440654051,16.55603003465102,a16-55603003465102_48-46128440654051,countries,2,AUT,crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000c69_0,58442187,48.26105727059903,14.56599647997999,a14-56599647997999_48-26105727059903,countries,2,AUT,crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ecf_0,58442187,48.31287935734539,13.88252271815519,a13-88252271815519_48-31287935734539,countries,2,AUT,crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001203_0,58442187,48.49946640384623,14.78210004037642,a14-78210004037642_48-49946640384623,countries,2,AUT,crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001e95_0,58442187,48.33725875264773,14.38888064730257,a14-38888064730257_48-33725875264773,countries,2,AUT,crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002577_0,58442187,48.35799800558491,14.47164891364155,a14-47164891364155_48-35799800558491,countries,2,AUT,crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006ab_0,60794286,47.97745389974157,13.55996460738848,a13-55996460738848_47-97745389974157,countries,2,AUT,crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000db6_0,60794286,48.11357857742725,13.03868439393936,a13-03868439393936_48-11357857742725,countries,2,AUT,crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004d8_0,64850499,46.92517684108621,16.0296072686441,a16-0296072686441_46-92517684108621,countries,2,AUT,crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000661_0,64850499,46.75918049128914,15.98897425684858,a15-98897425684858_46-75918049128914,countries,2,AUT,crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001392_0,64850499,47.12990238287208,16.25062403378028,a16-25062403378028_47-12990238287208,countries,2,AUT,crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001a50_0,64850499,46.86362997997295,15.65804701071748,a15-65804701071748_46-86362997997295,countries,2,AUT,crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001fef_0,64850499,46.71431506202969,15.93851506159356,a15-93851506159356_46-71431506202969,countries,2,AUT,crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000023cd_0,64850499,46.91680931345263,15.40402880025544,a15-40402880025544_46-91680931345263,countries,2,AUT,crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001450_0,69813674,46.61573671450921,14.49520193436805,a14-49520193436805_46-61573671450921,countries,2,AUT,crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000048f_0,73573979,47.77433850061369,16.37646072733504,a16-37646072733504_47-77433850061369,countries,2,AUT,crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d9_0,73573979,48.00921174522842,16.25524111391249,a16-25524111391249_48-00921174522842,countries,2,AUT,crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000011db_0,73573979,48.11896546308589,15.2110308940845,a15-2110308940845_48-11896546308589,countries,2,AUT,crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002216_0,73573979,48.06814695485225,16.11075558908235,a16-11075558908235_48-06814695485225,countries,2,AUT,crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002345_0,73573979,47.94879519327828,16.31270628387805,a16-31270628387805_47-94879519327828,countries,2,AUT,crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000545_0,78858557,48.08806788535862,16.8359938012913,a16-8359938012913_48-08806788535862,countries,2,AUT,crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000be8_0,78858557,47.99447504326095,16.48125184801931,a16-48125184801931_47-99447504326095,countries,2,AUT,crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000101b_0,78858557,47.95350755838544,16.95412059170065,a16-95412059170065_47-95350755838544,countries,2,AUT,crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000168c_0,78858557,47.70312851936746,16.41641357718732,a16-41641357718732_47-70312851936746,countries,2,AUT,crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000025a5_0,78858557,48.04846412759741,16.81947229915047,a16-81947229915047_48-04846412759741,countries,2,AUT,crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000018b_0,88898784,48.55773762853087,15.83010407426909,a15-83010407426909_48-55773762853087,countries,2,AUT,crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000762_0,88898784,48.57818353371277,15.91067163181172,a15-91067163181172_48-57818353371277,countries,2,AUT,crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000b0d_0,88898784,48.39655294596375,15.86271939543663,a15-86271939543663_48-39655294596375,countries,2,AUT,crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000018d9_0,88898784,48.78119597080615,15.83912288228587,a15-83912288228587_48-78119597080615,countries,2,AUT,crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001915_0,88898784,48.70848545184283,15.69005441842775,a15-69005441842775_48-70848545184283,countries,2,AUT,crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001e4c_0,88898784,48.91015091216059,15.35791565095942,a15-35791565095942_48-91015091216059,countries,2,AUT,crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e4b_0,13125652,48.46470231508529,13.71272052070465,a13-71272052070465_48-46470231508529,countries,6,AUT,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000020b7_0,13125652,48.27657439535239,13.2587739813571,a13-2587739813571_48-27657439535239,countries,6,AUT,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000042_0,38676589,48.02947856213243,14.64724998707497,a14-64724998707497_48-02947856213243,countries,6,AUT,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000d46_0,38676589,48.03969373109975,14.21489081351781,a14-21489081351781_48-03969373109975,countries,6,AUT,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000267f_0,38676589,48.12570602335398,14.02055081540728,a14-02055081540728_48-12570602335398,countries,6,AUT,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000056c_0,49226925,48.73162646766085,16.6584240616264,a16-6584240616264_48-73162646766085,countries,4,AUT,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001989_0,58442187,48.41474640896969,13.77583529855514,a13-77583529855514_48-41474640896969,countries,6,AUT,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000451_0,60794286,48.23331688672337,13.66202454601383,a13-66202454601383_48-23331688672337,countries,6,AUT,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
