system:index,CellCode,area,country,stratum,.geo
00000000000000000069_3,12021002,65222.502589745614,ISL,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000069_4,12021002,279152.40707143146,ISL,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a_0,12057998,3268838693.835632,ITA,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a_1,12057998,1359383401.223393,ITA,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a_2,12057998,42534482.66510022,ITA,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a_3,12057998,10118413.08028265,ITA,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a_4,12057998,17427335.07243742,ITA,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a_5,12057998,2269409.4004603066,ITA,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000061_0,12569847,1460133240.1637847,HUN,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000061_1,12569847,4977614604.742899,HUN,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000061_2,12569847,11606377.857409818,HUN,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000061_3,12569847,4969236.474704967,HUN,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000061_4,12569847,6737560.22639238,HUN,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000061_5,12569847,1690770.117825497,HUN,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b5_0,12569847,731980768.4594911,ROU,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b5_1,12569847,2515641132.8057337,ROU,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b5_2,12569847,8747767.930279182,ROU,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b5_3,12569847,3678516.3174779257,ROU,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b5_4,12569847,5915523.303655797,ROU,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b5_5,12569847,2252215.748926469,ROU,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b6_0,12569847,71416246.5910933,SRB,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b6_1,12569847,140164351.03390908,SRB,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b6_2,12569847,123327.99168381037,SRB,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b6_3,12569847,54357.30554821538,SRB,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b6_4,12569847,45831.76416015625,SRB,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b6_5,12569847,37926.338302612305,SRB,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040_0,12852477,7501892721.043577,EST,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040_1,12852477,2012205594.4704063,EST,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040_2,12852477,13396171.695919648,EST,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040_3,12852477,5254931.485169085,EST,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040_4,12852477,10560527.970670093,EST,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040_5,12852477,1761216.6429957072,EST,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047_0,12877777,2558180640.359011,FIN,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047_1,12877777,756245615.2662598,FIN,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047_2,12877777,5070311.115725288,FIN,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047_3,12877777,2741351.2634603167,FIN,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047_4,12877777,3452080.626417511,FIN,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047_5,12877777,278917.4130783081,FIN,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0_0,1292149,2921572858.484776,NOR,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0_1,1292149,9322130.47354877,NOR,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0_2,1292149,58751.78571478152,NOR,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0_3,1292149,4181.975981229894,NOR,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0_4,1292149,4469.644959214154,NOR,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bd_0,1292149,6057511368.552276,SWE,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bd_1,1292149,4960414.320497461,SWE,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bd_2,1292149,559145.56298828125,SWE,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bd_3,1292149,221877.11924743652,SWE,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bd_4,1292149,398517.23614501953,SWE,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bd_5,1292149,100.07974243164062,SWE,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0_0,12962195,9513523918.76035,NOR,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0_1,12962195,91904939.21039964,NOR,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0_2,12962195,2427093.899732493,NOR,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0_3,12962195,529914.0058138978,NOR,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0_4,12962195,1535590.9946517944,NOR,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0_5,12962195,116390.98384857178,NOR,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c_0,1302041,490710677.8246363,FRA,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c_1,1302041,724566198.7484379,FRA,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c_2,1302041,3914026.786891384,FRA,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c_3,1302041,1152446.4609386069,FRA,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c_4,1302041,2030335.144934022,FRA,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c_5,1302041,277283.8790359497,FRA,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_0,13125652,523432422.33232707,AUT,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_1,13125652,411990257.5489516,AUT,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_2,13125652,2686590.474933759,AUT,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_3,13125652,1917881.211176824,AUT,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_4,13125652,2131956.2884198357,AUT,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_5,13125652,1525747.841442931,AUT,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
