system:index,area,id,stratum,.geo
"86,14_2",326000.0,9.583885265E9,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
"86,14_3",79200.0,9.583885265E9,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
"86,14_4",146000.0,9.583885265E9,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
"86,14_5",6000.0,9.583885265E9,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
"87,14_0",2.0419508E9,2.240154221E9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"87,14_1",3.18452E7,2.240154221E9,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
"87,14_2",1583200.0,2.240154221E9,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
"87,14_3",486000.0,2.240154221E9,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
"87,14_4",1054400.0,2.240154221E9,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
"87,14_5",47200.0,2.240154221E9,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
"88,14_0",2.2750632E9,8.133326722E9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"88,14_1",1.29272E7,8.133326722E9,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
"88,14_2",405200.0,8.133326722E9,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
"88,14_3",132400.0,8.133326722E9,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
"88,14_4",326400.0,8.133326722E9,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
"88,14_5",2800.0,8.133326722E9,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
"89,14_0",2.3387176E9,5.432234638E9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"89,14_1",1488000.0,5.432234638E9,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
"89,14_2",124400.0,5.432234638E9,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
"89,14_3",6800.0,5.432234638E9,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
"89,14_4",24400.0,5.432234638E9,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
"90,14_0",2.385994E9,8.15913144E8,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"90,14_1",38000.0,8.15913144E8,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
"91,14_0",2.3100948E9,1.15299777E9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"91,14_1",2626800.0,1.15299777E9,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
"91,14_2",175200.0,1.15299777E9,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
"91,14_3",38000.0,1.15299777E9,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
"91,14_4",165600.0,1.15299777E9,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
"92,14_0",2.3749348E9,7.790336582E9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"93,14_0",2.4587356E9,7.428944928E9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"93,14_1",685200.0,7.428944928E9,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
"93,14_2",1200.0,7.428944928E9,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
"94,14_0",2.3291196E9,1.664780258E9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"94,14_1",3289600.0,1.664780258E9,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
"94,14_2",172000.0,1.664780258E9,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
"94,14_3",50400.0,1.664780258E9,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
"94,14_4",55600.0,1.664780258E9,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
"95,14_0",2.1280124E9,4.529455762E9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"95,14_1",4767200.0,4.529455762E9,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
"95,14_2",313200.0,4.529455762E9,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
"95,14_3",143200.0,4.529455762E9,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
"95,14_4",219200.0,4.529455762E9,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
"96,14_0",4.30224E7,6.267011589E9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"96,14_1",800.0,6.267011589E9,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
"96,14_2",400.0,6.267011589E9,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
"50,15_0",9.06014E8,8.421132745E9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"50,15_1",1460800.0,8.421132745E9,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
"50,15_2",100800.0,8.421132745E9,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
