system.index,CellCode,PLOTID,stratum,.geo,country,geometry
000000000000000015e9_0,46504356,a-0-7288032620039_48-63928444006693,nature loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(-0.7288032620039, 48.6392844400669)"
0000000000000000226a_0,63957442,a2-73497202247463_48-83619180811625,nature loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(2.73497202247463, 48.8361918081162)"
000000000000000020b0_0,64760445,a4-85683893065145_43-93366491047228,buffer crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(4.85683893065145, 43.9336649104723)"
00000000000000000331_0,91495155,a5-66842993432432_45-66019601278778,buffer nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(5.66842993432432, 45.6601960127878)"
0000000000000000115f_0,34859378,a5-72217171071902_49-20644241916568,crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(5.72217171071902, 49.2064424191657)"
00000000000000002527_0,48166832,a3-34249633837998_45-95057929079383,crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(3.34249633837998, 45.9505792907938)"
00000000000000000ef2_0,63957442,a2-53879253185853_48-43621683855706,crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(2.53879253185853, 48.4362168385571)"
0000000000000000122e_0,66045064,a-0-14048885746763_47-24526578088469,nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(-0.14048885746763, 47.2452657808847)"
00000000000000000806_0,83470793,a2-66607449119766_45-04284674327586,nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(2.66607449119766, 45.0428467432759)"
000000000000000003f9_0,2085502,a-4-36605216721822_48-532109590086,crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(-4.36605216721822, 48.532109590086)"
000000000000000016a0_0,26762955,a3-03055836981925_48-19156720472646,crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(3.03055836981925, 48.1915672047265)"
000000000000000011c0_0,34859378,a5-74355286801312_49-44599991061213,crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(5.74355286801312, 49.4459999106121)"
0000000000000000037c_0,61958986,a1-92461048902677_49-73931050970091,crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(1.92461048902677, 49.7393105097009)"
00000000000000001605_0,61958986,a2-18201993093898_49-5475519430173,crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(2.18201993093898, 49.5475519430173)"
000000000000000008e3_0,81708405,a-1-34374284386159_47-02022755127476,crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(-1.34374284386159, 47.0202275512748)"
0000000000000000035a_0,1609724,a7-37993846500642_47-96750147200094,crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(7.37993846500642, 47.9675014720009)"
0000000000000000153d_0,6861980,a5-3254922821307_44-80156773801887,buffer crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(5.3254922821307, 44.8015677380189)"
00000000000000000245_0,17755026,a0-28621587648052_48-81975035460098,nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(0.28621587648052, 48.819750354601)"
0000000000000000159b_0,19359631,a7-14116331248392_43-93311102615638,buffer nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(7.14116331248392, 43.9331110261564)"
0000000000000000116f_0,28849022,a0-223772301559_45-30465914046838,buffer nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(0.223772301559, 45.3046591404684)"
00000000000000001610_0,41271191,a0-23177419044316_44-85329790167235,buffer nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(0.23177419044316, 44.8532979016723)"
0000000000000000001a_0,53238145,a1-75689441913919_44-90885311257603,buffer nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(1.75689441913919, 44.908853112576)"
00000000000000000556_0,66304550,a2-56099486870238_50-5986281680798,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(2.56099486870238, 50.5986281680798)"
00000000000000000e49_0,91495155,a4-80862426540845_45-96621592561729,buffer nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(4.80862426540845, 45.9662159256173)"
00000000000000000114_0,93272735,a5-84183751904465_47-2985232755137,buffer crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(5.84183751904465, 47.2985232755137)"
00000000000000000c3f_0,1609724,a7-51809470710427_47-82837273581611,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(7.51809470710427, 47.8283727358161)"
0000000000000000245a_0,11705184,a2-58896497299867_42-66375639844479,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(2.58896497299867, 42.6637563984448)"
00000000000000001ab0_0,20210009,a-2-50892206729078_47-79563952733903,nature loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(-2.50892206729078, 47.795639527339)"
000000000000000014eb_0,25981152,a-2-12637554665896_47-89626882909325,buffer crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(-2.12637554665896, 47.8962688290933)"
000000000000000023ff_0,41196189,a6-15124567895761_48-59686342870764,buffer nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(6.15124567895761, 48.5968634287076)"
00000000000000001b0b_0,91495155,a4-83774516957964_45-81113137577614,nature loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(4.83774516957964, 45.8111313757761)"
00000000000000000b96_0,15384808,a3-80934785771087_44-22595190858979,buffer nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(3.80934785771087, 44.2259519085898)"
00000000000000000e59_0,41271191,a-0-14088809240077_44-75901851994198,buffer nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(-0.14088809240077, 44.759018519942)"
00000000000000000f0a_0,64760445,a5-79506079730827_43-94338233102023,buffer nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(5.79506079730827, 43.9433823310202)"
000000000000000017d0_0,64760445,a4-89599439309139_44-41185358974153,buffer nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(4.89599439309139, 44.4118535897415)"
00000000000000000234_0,66304550,a1-6098027447848_50-3896571129285,buffer nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(1.6098027447848, 50.3896571129285)"
00000000000000000651_0,3793949,a6-06993217360241_43-31571884432141,nature loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(6.06993217360241, 43.3157188443214)"
00000000000000002498_0,6861980,a5-32337167073607_44-76635089669486,nature loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(5.32337167073607, 44.7663508966949)"
00000000000000000498_0,11705184,a2-98266677397381_43-1198041934067,nature loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(2.98266677397381, 43.1198041934067)"
000000000000000018d5_0,11705184,a3-25824931695551_43-42041579282776,nature loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(3.25824931695551, 43.4204157928278)"
00000000000000002677_0,11705184,a2-92142198947528_42-73893322073074,nature loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(2.92142198947528, 42.7389332207307)"
000000000000000003c3_0,15384808,a4-345299614906_43-85995429158997,nature loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(4.345299614906, 43.85995429159)"
00000000000000001e47_0,15384808,a4-6161421292811_44-11144610765091,nature loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(4.6161421292811, 44.1114461076509)"
0000000000000000134a_0,26762955,a2-9477861835599_48-84067493730515,nature loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(2.9477861835599, 48.8406749373052)"
00000000000000000142_0,41271191,a0-17105063647398_44-65183012519665,nature loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(0.17105063647398, 44.6518301251967)"
000000000000000014f6_0,64760445,a5-28637137011369_44-28019516357994,nature loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(5.28637137011369, 44.2801951635799)"
00000000000000001d13_0,64760445,a5-35116484592568_44-00789631962915,nature loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(5.35116484592568, 44.0078963196291)"
